-10, -10, 100, 100, 1
-10, -9.5, 100, 90.24, 1
-10, -9, 100, 81, 1
-10, -8.5, 100, 72.24, 1
-10, -8, 100, 64, 1
-10, -7.5, 100, 56.24, 1
-10, -7, 100, 49, 1
-10, -6.5, 100, 42.24, 1
-10, -6, 100, 36, 1
-10, -5.5, 100, 30.24, 1
-10, -5, 100, 25, 1
-10, -4.5, 100, 20.24, 1
-10, -4, 100, 16, 1
-10, -3.5, 100, 12.24, 1
-10, -3, 100, 9, 1
-10, -2.5, 100, 6.24, 1
-10, -2, 100, 4, 1
-10, -1.5, 100, 2.24, 1
-10, -1, 100, 1, 1
-10, -0.5, 100, 0.24, 1
-10, 0, 100, 0, 1
-10, 0.5, 100, 0.24, 1
-10, 1, 100, 1, 1
-10, 1.5, 100, 2.24, 1
-10, 2, 100, 4, 1
-10, 2.5, 100, 6.24, 1
-10, 3, 100, 9, 1
-10, 3.5, 100, 12.24, 1
-10, 4, 100, 16, 1
-10, 4.5, 100, 20.24, 1
-10, 5, 100, 25, 1
-10, 5.5, 100, 30.24, 1
-10, 6, 100, 36, 1
-10, 6.5, 100, 42.24, 1
-10, 7, 100, 49, 1
-10, 7.5, 100, 56.24, 1
-10, 8, 100, 64, 1
-10, 8.5, 100, 72.24, 1
-10, 9, 100, 81, 1
-10, 9.5, 100, 90.24, 1
-9.5, -10, 90.24, 100, 1
-9.5, -9.5, 90.24, 90.24, 1
-9.5, -9, 90.24, 81, 1
-9.5, -8.5, 90.24, 72.24, 1
-9.5, -8, 90.24, 64, 1
-9.5, -7.5, 90.24, 56.24, 1
-9.5, -7, 90.24, 49, 1
-9.5, -6.5, 90.24, 42.24, 1
-9.5, -6, 90.24, 36, 1
-9.5, -5.5, 90.24, 30.24, 1
-9.5, -5, 90.24, 25, 1
-9.5, -4.5, 90.24, 20.24, 1
-9.5, -4, 90.24, 16, 1
-9.5, -3.5, 90.24, 12.24, 1
-9.5, -3, 90.24, 9, 1
-9.5, -2.5, 90.24, 6.24, 1
-9.5, -2, 90.24, 4, 1
-9.5, -1.5, 90.24, 2.24, 1
-9.5, -1, 90.24, 1, 1
-9.5, -0.5, 90.24, 0.24, 1
-9.5, 0, 90.24, 0, 1
-9.5, 0.5, 90.24, 0.24, 1
-9.5, 1, 90.24, 1, 1
-9.5, 1.5, 90.24, 2.24, 1
-9.5, 2, 90.24, 4, 1
-9.5, 2.5, 90.24, 6.24, 1
-9.5, 3, 90.24, 9, 1
-9.5, 3.5, 90.24, 12.24, 1
-9.5, 4, 90.24, 16, 1
-9.5, 4.5, 90.24, 20.24, 1
-9.5, 5, 90.24, 25, 1
