2841, 1, 3723, 9656100
1207, 2, 4413, 9571000
2275, 4, 8131, 9210100
2186, 1, 9481, 9073800
1181, 1, 1226, 9889200
504, 1, 6123, 9392600
2736, 4, 6449, 9382900
2484, 3, 5389, 9486200
2432, 1, 7142, 9310100
531, 5, 9985, 9007500
820, 4, 1612, 9847300
2866, 2, 9785, 9050200
2811, 3, 1943, 9833900
1329, 1, 5429, 9470500
222, 5, 1996, 9803000
625, 4, 8928, 9113700
2929, 3, 6560, 9373400
629, 3, 1630, 9843600
1329, 5, 3640, 9649900
2062, 2, 2095, 9811300
1899, 1, 2588, 9760200
490, 1, 8228, 9182200
98, 1, 7397, 9261500
2389, 2, 7577, 9266300
605, 2, 7079, 9298500
2999, 5, 658, 9964900
307, 2, 7363, 9266900
2611, 2, 4072, 9619100
1500, 2, 7788, 9236400
2608, 1, 6109, 9415200
348, 4, 3840, 9620000
2970, 4, 7759, 9254100
622, 3, 6238, 9382400
2228, 5, 2674, 9755500
2694, 4, 7341, 9293200
1395, 3, 3821, 9632200
1014, 3, 8499, 9160600
2265, 3, 4662, 9556500
2734, 4, 11, 10026700
2632, 5, 4636, 9563400
2162, 4, 1945, 9827400
2606, 2, 2899, 9736300
2627, 3, 3047, 9722000
2607, 5, 8894, 9137100
384, 1, 9111, 9092900
412, 3, 3284, 9676100
58, 3, 5655, 9435200
1926, 3, 9320, 9087300
2901, 2, 7333, 9295700
2534, 2, 958, 9929500
2039, 3, 3052, 9715200
2318, 3, 9299, 9093300
2007, 1, 8378, 9182400
497, 4, 6899, 9315500
586, 5, 9683, 9038100
2664, 1, 4001, 9626600
1583, 2, 9050, 9111000
2492, 3, 3679, 9657200
1006, 4, 2514, 9759100
938, 4, 510, 9958700
483, 1, 7479, 9257100
1851, 4, 5959, 9423200
1553, 5, 5461, 9470100
1710, 5, 4248, 9593000
71, 3, 6643, 9336700
2880, 5, 9519, 9077400
290, 1, 2665, 9736400
1039, 3, 3013, 9709300
1580, 1, 2507, 9765400
1159, 4, 1277, 9884200
2603, 3, 7786, 9247600
